id;name;lat;lon;category;subcategory;wheelchair;source
osm:node_13082467848;Curt di Sciàtt;45.5708104;9.2438471;tourism;guest_house;;osm_node
osm:node_13121110547;Motoabbigliamento;45.5838789;9.3110582;shop;clothes;;osm_node
osm:node_13142470437;Qui Poste;45.5782616;9.2552904;amenity;post_office;limited;osm_node
osm:node_13159440943;Bar Le rose;45.5833864;9.29554;amenity;cafe;;osm_node
osm:node_13159440991;Policlinico di Monza;45.5840319;9.2956978;amenity;hospital;;osm_node
osm:node_13294010001;Fontana;45.5947041;9.2743173;amenity;drinking_water;;osm_node
osm:node_13328857601;Mamíe;45.596382;9.2573436;amenity;restaurant;;osm_node
osm:node_13328863301;Pizzadilly Circus;45.5947209;9.2591948;amenity;restaurant;;osm_node
osm:node_13328870701;MEMO’S pizza kebap;45.6004989;9.2617312;amenity;fast_food;;osm_node
osm:way_12648707;Paddock 2;45.61717678006367;9.283411610639176;amenity;parking;;osm_way
osm:way_19842206;Rettifilo di partenza;45.62029849309551;9.281343570080882;sport;motor;;osm_way
osm:way_19982933;Sopraelevata Nord;45.624168677070976;9.283271530670216;sport;motor;;osm_way
osm:way_19983025;Sopraelevata Sud;45.61147812120254;9.281729999598577;sport;motor;;osm_way
osm:way_24217401;Parcheggio di Porta Monza;45.596355622797866;9.272449741594498;amenity;parking;;osm_way
osm:way_24225558;Serrone;45.59433345508566;9.272206604681362;tourism;attraction;;osm_way
osm:way_24225559;Villa Reale;45.59348936798357;9.27450428015819;tourism;attraction;;osm_way
osm:way_24545210;U-Power Stadium;45.58307126858264;9.307949599201896;leisure;stadium;;osm_way
osm:way_26802102;Boschetti Reali;45.59031638396019;9.275121398676209;leisure;park;;osm_way
osm:way_26802154;Istituti Clinici Zucchi;45.586656361402746;9.272174958723765;amenity;hospital;;osm_way
osm:way_26802816;Parcheggio di Piazza Carducci;45.58482622251068;9.273606721440197;amenity;parking;;osm_way
osm:way_27950365;Centro Sportivo Forti e Liberi;45.593492546447685;9.266662543615338;leisure;sports_centre;;osm_way
osm:way_30899498;Parcheggio Nuovo Ospedale San Gerardo;45.59981963272817;9.260675624785087;amenity;parking;;osm_way
osm:way_30899507;Centro Sportivo Pro Victoria;45.60039242151517;9.264608144087411;leisure;pitch;;osm_way
osm:way_30915716;Roche;45.59071896721262;9.313528427624199;office;company;;osm_way
osm:way_31115561;Centro Sportivo Triante;45.57525909330258;9.251092716709751;leisure;sports_centre;;osm_way
osm:way_31134297;Parco Ronchi;45.570975690750934;9.242434625572809;leisure;playground;;osm_way
osm:way_31138265;Collegio della Guastalla;45.57216078191038;9.24379178346846;amenity;school;;osm_way
osm:way_31138517;Tiro a Segno Nazionale - Sezione di Monza;45.575916264444594;9.24421594776667;leisure;sports_centre;;osm_way
osm:way_31140180;Scuola Padre Annibale Maria di Francia;45.58045281584917;9.246031982885842;amenity;school;;osm_way
osm:way_31140185;Villa Castello del Torneamento;45.58024790886237;9.246143694365268;historic;castle;;osm_way
